;index;yield;price;bidask spread;du;coupon;duration;modified duration;dv01;pnl;vna;volume;open interest;convexity;maturity;bond code;reference date
0;0;0.0738;867.5128423461783;1.9400000000000546;503;0.0;1.996031746031746;1.8588487433167267;-0.1612575156806315;0.7294794796578117;1000.0;0;;2.5932062912599947;2021-01-04;BRSTNCLTN772;2019-01-02
1;1;0.06422746016451236;970.313085;0.08899799999994684;122;0.0;0.48412698412698413;0.4549093167353746;-0.04414044625167435;0.4279260000000704;1000.0;1361477;;0.317198731056594;2019-07-01;BRSTNCLTN798;2019-01-02
2;2;0.06472892021485722;939.2061970000001;1.0499999999999545;252;0.0;1.0;0.9392062053031033;-0.0882108288281529;1.2852240000000847;1000.0;116715;;0.8821082805559148;2020-01-02;BRSTNCLTN7B7;2019-01-02
3;3;0.08549999999999999;720.9495140854106;3.17999999999995;1005;0.0;3.988095238095238;3.6739708950587175;-0.26487475315565234;0.7645332420418072;1000.0;0;;8.441324965853358;2023-01-02;BRSTNCLTN7D3;2019-01-02
4;4;0.06783638594930884;906.9477529999999;2.047484999999938;375;0.0;1.4880952380952381;1.3935611078266106;-0.1263887115411535;2.3266149999998333;1000.0;804290;;1.6235224744900751;2020-07-01;BRSTNCLTN7F8;2019-01-02
5;5;0.06464371365508326;985.196334;0.11211600000001454;60;0.0;0.23809523809523808;0.22363842101516673;-0.02203277525256908;0.28755200000000514;1000.0;2866096;;0.13003677435889044;2019-04-01;BRSTNCLTN7G6;2019-01-02
6;6;0.06453418143987291;954.416784;0.44186500000000706;188;0.0;0.746031746031746;0.7008058212782953;-0.06688608381529093;0.7726640000000771;1000.0;1942778;;0.5747251721285043;2019-10-01;BRSTNCLTN7H4;2019-01-02
7;7;0.07626214733079821;833.1275009999999;0.0;626;0.0;2.484126984126984;2.3081059258037224;-0.19229465220081465;3.635161999999923;1000.0;118580;;3.7359551046436286;2021-07-01;BRSTNCLTN7I2;2019-01-02
8;8;0.06591598602517242;923.5412380000001;0.0;314;0.0;1.246031746031746;1.1689774576073146;-0.10795988883927521;1.859139000000141;1000.0;7160;;1.2315982527575275;2020-04-01;BRSTNCLTN7J0;2019-01-02
9;9;0.07938921380768103;795.662878;5.592563000000041;754;0.0;2.992063492063492;2.771996921117167;-0.2205575048063224;4.183219000000008;1000.0;454183;;5.126041399417615;2022-01-03;BRSTNCLTN7K8;2019-01-02
10;10;0.09110000000000001;593.4903885600307;3.900000000000091;1508;0.0;5.984126984126984;5.484490377857424;-0.32549923254083524;1.506041754285775;1000.0;0;;17.553100649328382;2025-01-02;BRSTNCLTN7N2;2019-01-02
11;11;0.08204706576418228;759.769856;5.137854000000061;878;0.0;3.484126984126984;3.219940440969502;-0.2446413685163975;4.390219000000002;1000.0;488729;;6.671900953858115;2022-07-01;BRSTNCLTN7O0;2019-01-02
12;12;0.07021466810271504;888.265664;0.0;440;0.0;1.746031746031746;1.631478080255341;-0.1449185960259456;2.7990429999998696;1000.0;0;;2.0930803393649384;2020-10-01;BRSTNCLTN004;2019-01-02
13;0;0.07239999999999999;870.016153921407;1.9400000000000546;502;0.0;1.992063492063492;1.8575750900282244;-0.1616120335446567;2.503311575228622;1000.0;0;;2.5913756997087463;2021-01-04;BRSTNCLTN772;2019-01-03
14;1;0.06449520403266633;970.4355800000001;0.15455699999995431;121;0.0;0.4801587301587302;0.45106707003698626;-0.04377315337302434;0.12249500000007174;1000.0;434906;;0.3135997473839663;2019-07-01;BRSTNCLTN798;2019-01-03
15;2;0.06509049281293404;939.122333;1.0499999999999545;251;0.0;0.996031746031746;0.9351616238357385;-0.08782311659086872;-0.08386400000006233;1000.0;2511918;;0.8762693285325127;2020-01-02;BRSTNCLTN7B7;2019-01-03
16;3;0.0842;724.6356234073942;3.1900000000000546;1004;0.0;3.984126984126984;3.6747160603283557;-0.26628301632212015;3.686109321983622;1000.0;0;;8.446435739318696;2023-01-02;BRSTNCLTN7D3;2019-01-03
17;4;0.06812369912633524;906.821866;2.475009;374;0.0;1.4841269841269842;1.3894710922651066;-0.1260002768640902;-0.1258869999999206;1000.0;214420;;1.6157410624646518;2020-07-01;BRSTNCLTN7F8;2019-01-03
18;5;0.06489943897331091;985.385847;0.22496799999998984;59;0.0;0.23412698412698413;0.21985830446173169;-0.021664526156200736;0.18951300000003357;1000.0;2883626;;0.1273984302363987;2019-04-01;BRSTNCLTN7G6;2019-01-03
19;6;0.06487196217998274;954.4289449999999;0.1404929999999922;187;0.0;0.7420634920634921;0.6968570153404022;-0.06651005059671888;0.012160999999878186;1000.0;1142500;;0.5700071115778538;2019-10-01;BRSTNCLTN7H4;2019-01-03
20;7;0.07640659645205164;833.093172;4.221906999999987;625;0.0;2.4801587301587302;2.304109612447994;-0.191953798566999;-0.03432899999995698;1000.0;229452;;3.7247389502874197;2021-07-01;BRSTNCLTN7I2;2019-01-03
21;8;0.0664344300583917;923.2174449999999;0.5451610000000073;313;0.0;1.242063492063492;1.1646881142375898;-0.10752603850482956;-0.3237930000002507;1000.0;0;;1.2243156390600538;2020-04-01;BRSTNCLTN7J0;2019-01-03
22;9;0.07960967334226073;795.41858;5.287322000000017;753;0.0;2.988095238095238;2.767755233094546;-0.2201523937295633;-0.24429799999995794;1000.0;1125735;;5.112065803853091;2022-01-03;BRSTNCLTN7K8;2019-01-03
23;10;0.0902;596.6327710669183;3.9300000000000637;1507;0.0;5.98015873015873;5.4853780932630904;-0.32727563321333264;3.142382506887543;1000.0;0;;17.560451627253162;2025-01-02;BRSTNCLTN7N2;2019-01-03
24;11;0.08219736087151608;759.640371;5.160288000000037;877;0.0;3.4801587301587302;3.2158264079920937;-0.24428715656387112;-0.12948500000004515;1000.0;528410;;6.6565550405050065;2022-07-01;BRSTNCLTN7O0;2019-01-03
25;12;0.07035237637402586;888.305761;1.1729970000000094;439;0.0;1.742063492063492;1.6275607515127377;-0.14457715919462544;0.04009699999994609;1000.0;216414;;2.084769016040372;2020-10-01;BRSTNCLTN004;2019-01-03
