;index;yield;price;bidask spread;du;coupon;duration;modified duration;dv01;pnl;vna;volume;open interest;convexity;maturity;bond code;reference date
0;0;0.0702950007416067;983.955274;0.07660900000007587;60.0;0.0;0.23412698412698413;0.222457583085915;-0.0218888312118679;0.015321399147410375;1000.0;1531709;;0.128667183586267;2013-04-01;BRSTNCLTN6L8;2013-01-02
1;1;0.0711940007321047;933.282976;0.34999999999990905;253.0;0.0;1.0;0.937242238157597;-0.0874712225260623;0.3401386473465209;1000.0;2020482;;0.876687002042165;2014-01-02;BRSTNCLTN6M6;2013-01-02
2;2;0.0776370004898652;860.5919769999999;0.9599999999999227;506.0;0.0;2.003968253968254;1.86327728331953;-0.160352148095114;-0.2149128509674938;1000.0;381300;;2.60042098366508;2015-01-02;BRSTNCLTN6N4;2013-01-02
3;3;0.07089100004104;967.122475;0.17634299999997438;123.0;0.0;0.48412698412698413;0.455784240135021;-0.0440799182385376;-0.015428364575654996;1000.0;1213090;;0.316675714567023;2013-07-01;BRSTNCLTN6P9;2013-01-02
4;4;0.0717430005658335;917.2887929999999;0.0;314.0;0.0;1.242063492063492;1.16262178391244;-0.106645993288055;0.5201658487972054;1000.0;0;;1.21824236083253;2014-04-01;BRSTNCLTN6R5;2013-01-02
5;5;0.0820130002322041;789.409891;1.3100000000000591;756.0;0.0;2.996031746031746;2.7726100192622;-0.218872577309128;1.0365471811740008;1000.0;336581;;5.12491067850977;2016-01-04;BRSTNCLTN6S3;2013-01-02
6;6;0.073393000024942;899.97001;0.7482430000000022;375.0;0.0;1.4841269841269842;1.38634708512431;-0.124767080006279;0.34923445390745655;1000.0;210306;;1.6067570785367;2014-07-01;BRSTNCLTN6T1;2013-01-02
7;7;0.0710830009504401;949.8010710000001;0.06652199999996355;189.0;0.0;0.746031746031746;0.700225850450308;-0.0665075262699588;-0.18559893207384448;1000.0;92834;;0.572035613718121;2013-10-01;BRSTNCLTN6U9;2013-01-02
8;8;0.0787380000223297;843.216411;1.4927519999999959;567.0;0.0;2.246031746031746;2.08577063611833;-0.175875602995688;0.5555024092698204;1000.0;57185;;3.1419837420383;2015-04-01;BRSTNCLTN6V7;2013-01-02
9;9;0.083743000129674;755.1532990000001;0.48472900000001573;880.0;0.0;3.488095238095238;3.22222483918865;-0.243327371743305;1.4557230218517816;1000.0;740200;;6.677984737682;2016-07-01;BRSTNCLTN6W5;2013-01-02
