,DI 1y,DI 2y,DI 3y,DI 4y,DI 5y,DI 6y,DI 7y,DI 8y,DI 9y,DI 10y
2008-01-02 00:00:00,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2008-01-03 00:00:00,100.0750275457449,100.18176805262102,100.24640968398778,100.48407644841114,100.50837374292566,100.50303461683366,100.50366871540784,100.57531354912508,100.6862508429884,100.76205599493471
2008-01-04 00:00:00,99.9918049467105,100.04663425795572,100.10640682853537,100.29614463762336,100.27857131241005,100.30502958196075,100.26200693025282,100.36679891728107,100.2926415065263,100.32368934355581
2008-01-07 00:00:00,99.97104151279821,100.05415016917793,100.20595624714915,100.44412843501921,100.50635981837395,100.49813271339116,100.45491763134936,100.44774550337117,100.6196934256421,100.68653776091028
2008-01-08 00:00:00,100.01250076008292,100.17071673815047,100.38476828659046,100.62304693560169,100.73468424811547,100.71949937733942,100.85733416621255,101.10139165785391,101.14900016294895,101.27454434613551
2008-01-09 00:00:00,99.99380920574312,100.10148387741661,100.23152845445479,100.42566247701029,100.42191388426946,100.45822760088417,100.46917641156257,100.67418657763618,100.83351695372686,100.92284567138684
2008-01-10 00:00:00,99.95752047053044,99.99175920393908,99.95355490360573,100.24330604780798,100.160784770333,100.1988800483722,100.19596117743748,100.21789737362974,100.23946265310823,100.261508020661
2008-01-11 00:00:00,100.02472314278016,100.13264120820243,100.21342311607684,100.4573619216861,100.41293321339215,100.4559790858104,100.54514095924594,100.79321873891261,100.84689660794477,100.93625152152693
2008-01-14 00:00:00,100.0272202222028,100.09073777761498,100.13150767082676,100.31868903462707,100.36172035443288,100.4255753212167,100.55146375672336,100.69647044463566,101.02783109219088,101.13977431185725
2008-01-15 00:00:00,100.07790739841764,100.1424716639973,100.2339780558103,100.49050733798394,100.54617495424726,100.6987795061762,100.86956202594772,100.9851598528159,101.06117423497265,101.17320895837119
2008-01-16 00:00:00,100.07298509924993,100.06836808583854,100.06520599218652,100.21223178678713,100.19883220635262,100.33227539210475,100.44084040078764,100.63459692122413,100.62587498435974,100.68817605428465
2008-01-17 00:00:00,100.09315606078408,100.02464608451544,99.86162789077122,99.96893589005334,99.85365825248341,99.99413909949854,100.04442236384142,100.07125418796386,99.79493405504711,99.76351713221473
2008-01-18 00:00:00,100.13526845420778,100.09064875666985,99.97295413376895,99.98844614422923,99.81564368232486,99.86930269183841,99.9588350727953,99.97274950442174,99.72263638430069,99.6824042876702
2008-01-21 00:00:00,100.02543529121269,99.66853686955045,99.24908351766423,99.1367701699379,98.64416521548075,98.4369710139631,98.49582773610493,98.2238400377323,97.7676110578301,97.51141254406208
2008-01-22 00:00:00,100.09163473845551,99.82896532990269,99.43830976849115,99.30041066162151,98.95659029115568,98.886113216631,98.83820570882365,98.58747555835765,98.3201860429824,98.1022482957397
2008-01-23 00:00:00,100.09950037091589,99.74332718071423,99.26389378882934,99.05628196198991,98.74714939074336,98.63231594175004,98.4507178624072,98.17792945092502,97.78303395718227,97.52678333360505
2008-01-24 00:00:00,100.15865555158032,100.1181307941507,99.97405745805267,99.8747130118532,99.88918134455234,100.0045211619852,100.11222778402679,100.04054567187622,99.95194306751945,99.93414653246879
2008-01-28 00:00:00,100.16974534043077,100.3096529988994,100.30222337295531,100.48335321228375,100.52010749276087,100.79350459877018,101.02775470220806,101.19144798408999,101.12675996233772,101.23957347831077
2008-01-29 00:00:00,100.14755498420264,100.2639471022283,100.20405742391297,100.41657478217451,100.39670666814116,100.60770967593055,100.75402152386872,100.9482946841895,100.89196429622866,100.97747594815921
2008-01-30 00:00:00,100.14233355639456,100.26942824899102,100.22359589030839,100.43490470981125,100.42188261337853,100.61414086103882,100.739466733363,100.77911422170791,100.89866864213826,100.98416163847666
2008-01-31 00:00:00,100.08963518279934,100.20734249842108,100.13876566697317,100.34811956317508,100.31814470884252,100.4883882358362,100.66337350195957,100.71276337329462,100.66459659055613,100.72291659870162
2008-02-01 00:00:00,100.06156193105238,100.26336210744618,100.30173167520701,100.52993158589538,100.67812568865648,100.9483080156542,101.304778841587,101.54142769827338,101.55727898075165,101.71605429977826
2008-02-06 00:00:00,100.03509743621886,100.21283636246167,100.22990079290969,100.44951726967831,100.52916651110066,100.71436799102084,100.9680155551988,101.2600385110623,101.16136152012932,101.3625747698257
