,NTNF 0.5y,NTNF 1y,NTNF 1.5y,NTNF 2y,NTNF 3y,NTNF 4y,NTNF 5y,NTNF 6y,NTNF 7y,NTNF 8y
2006-01-02 00:00:00,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2006-01-03 00:00:00,100.07956733512638,99.99819473153246,100.11549754786584,100.16866565610421,100.06873232843073,100.02043308634744,100.05682070399979,100.05682070399979,100.05682070399979,100.05682070399979
2006-01-04 00:00:00,100.15654375612552,100.10033503777537,100.15119372946106,100.25205617149972,100.2488728698869,100.20806401000213,100.11367369392359,100.11367369392359,100.11367369392359,100.11367369392359
2006-01-05 00:00:00,100.22290612610193,100.16851038604872,100.2655704162503,100.45776861134742,100.5903512604351,100.5276342873796,100.17055898811654,100.17055898811654,100.17055898811654,100.17055898811654
2006-01-06 00:00:00,100.28725008902106,100.24047909861176,100.3642540464985,100.5425008299154,100.77236245434064,100.6226214099124,100.2274766049341,100.2274766049341,100.2274766049341,100.2274766049341
2006-01-09 00:00:00,100.3529809097529,100.30120550723352,100.4285941625635,100.6513328261491,100.84592837011222,100.6801561481849,100.28442656274224,100.28442656274224,100.28442656274224,100.28442656274224
2006-01-10 00:00:00,100.42853855434528,100.39740379940247,100.54017381467114,100.74063042952815,100.96586186286552,100.77516895569696,100.34140887991731,100.34140887991731,100.34140887991731,100.34140887991731
2006-01-11 00:00:00,100.51370511829977,100.56250511287872,100.73201571199311,100.868188814172,101.15201710382054,100.94519274501114,100.39842357484618,100.39842357484618,100.39842357484618,100.39842357484618
2006-01-12 00:00:00,100.59603599826686,100.67212532951419,100.86236240860305,101.0444642526575,101.35606969767822,101.09658666148027,100.45547066592611,100.45547066592611,100.45547066592611,100.45547066592611
2006-01-13 00:00:00,100.6580478856395,100.73530473007682,100.96168967803303,101.1471455053244,101.45212423635833,101.22947754689031,100.5125501715648,100.5125501715648,100.5125501715648,100.5125501715648
2006-01-16 00:00:00,100.73799825564893,100.85292828132484,101.1110257670624,101.37005156555915,101.78994787267229,101.4373841920135,100.5696621101804,100.5696621101804,100.5696621101804,100.5696621101804
2006-01-17 00:00:00,100.81922494698784,100.96728139594403,101.31048513199079,101.61285262780653,102.24115357158223,101.81629359989054,100.6268065002016,100.6268065002016,100.6268065002016,100.6268065002016
2006-01-18 00:00:00,100.89703392458101,101.08080203907825,101.46660475483274,101.7866190339538,102.18690595746507,101.72208962656246,100.68398336006753,100.68398336006753,100.68398336006753,100.68398336006753
2006-01-19 00:00:00,100.94734995760855,101.0969547020052,101.39907103101324,101.65439455774919,102.16612314080747,101.79837062991889,100.74119270822774,100.74119270822774,100.74119270822774,100.74119270822774
2006-01-20 00:00:00,101.07197758168485,101.28674954452497,101.6179881660089,101.88921883703053,102.1803669238967,101.70494198964302,100.79843456314232,100.79843456314232,100.79843456314232,100.79843456314232
2006-01-23 00:00:00,101.1499755267593,101.38188752534201,101.6859659231138,101.9625490291166,102.2492177372934,101.78129578364828,100.85570894328185,100.85570894328185,100.85570894328185,100.85570894328185
2006-01-24 00:00:00,101.19075161672909,101.40404722107472,101.65411093293594,101.79227303011366,101.9781354953841,101.57629562693845,100.91301586712741,100.91301586712741,100.91301586712741,100.91301586712741
2006-01-25 00:00:00,101.27003991490886,101.44613189482122,101.69668499730649,101.89595736973625,102.57688644643714,102.26076815391696,102.43779591823622,102.43779591823622,102.43779591823622,102.43779591823622
2006-01-26 00:00:00,101.33291124042945,101.4805384931126,101.75213880613443,101.81156507359816,101.96205204662701,101.6545132530149,101.02772741991328,101.02772741991328,101.02772741991328,101.02772741991328
2006-01-27 00:00:00,101.38871568837881,101.55206113627574,101.78834004508342,102.07165728918453,102.33038428172077,101.95544815879866,101.08513208586824,101.08513208586824,101.08513208586824,101.08513208586824
2006-01-30 00:00:00,101.4611634562421,101.65801864280384,101.95134047051704,102.2855191196568,102.59304141974556,102.14450581952053,101.14256936955854,101.14256936955854,101.14256936955854,101.14256936955854
2006-01-31 00:00:00,101.52170777226236,101.6975573973762,102.00271464654813,102.28138951712909,102.72570793325427,102.2961507356101,101.20003928951779,101.20003928951779,101.20003928951779,101.20003928951779
2006-02-01 00:00:00,101.58995643239203,101.75843084348631,102.0315470650927,102.31875277594453,102.6539893030294,102.18488915662562,101.25754186429016,101.25754186429016,101.25754186429016,101.25754186429016
2006-02-02 00:00:00,101.65226398237328,101.83072432133055,102.08346633640667,102.30491520103686,102.60972263427544,102.1678528000605,101.31507711243033,101.31507711243033,101.31507711243033,101.31507711243033
2006-02-03 00:00:00,101.73079073733217,101.90208247793522,102.15713827960221,102.39417487769765,102.99607195218593,102.63878333321068,101.37264505250354,101.37264505250354,101.37264505250354,101.37264505250354
2006-02-06 00:00:00,101.80132253584095,102.01388495699015,102.2766997685861,102.54126593843637,103.2841544212935,103.48942445311332,103.45658952922348,103.45658952922348,103.45658952922348,103.45658952922348
2006-02-07 00:00:00,101.86885245530162,102.15589658613759,102.52795378427106,102.98309366615051,103.64329907978734,104.03579258554898,104.17476578255392,104.17476578255392,104.17476578255392,104.17476578255392
2006-02-08 00:00:00,101.92653882542926,102.20502890703112,102.57704582363955,103.09824977376275,104.03407298991611,103.485640381223,101.54554521013206,101.54554521013206,101.54554521013206,101.54554521013206
2006-02-09 00:00:00,101.99564091693063,102.26190801457108,102.59675969137061,103.02769049774612,103.93177630131696,103.37933976664664,101.60324410380088,101.60324410380088,101.60324410380088,101.60324410380088
