;index;yield;price;bidask spread;du;coupon;duration;modified duration;dv01;pnl;vna;volume;open interest;convexity;maturity;bond code;reference date
0;0;0.07364694437738968;3828.796995;12.185083000000304;5100;0.0;14.793085510211542;10.50082852163434;-4.020554068864385;17.98536200000035;4387.858425;32744;;82.91196555640626;2045-05-15;BRSTNCNTB0A6;2025-01-02
1;1;0.0762533819054234;3945.98353;58.9377129999998;2594;0.0;8.39247194641684;7.066576401152356;-2.788459409243387;10.792055999999775;4387.858425;37927;;33.471204279211996;2035-05-15;BRSTNCNTB0O7;2025-01-02
2;2;0.07699685545572271;4172.875301;36.54208500000004;1404;0.0;4.8582416501260335;4.342052615785094;-1.811884411605206;13.160534999999982;4387.858425;0;;12.612057447451111;2030-08-15;BRSTNCNTB3B8;2025-01-02
3;3;0.07285779471964418;3994.280687;47.235295999999835;3913;0.0;11.779985223435984;9.082581008410562;-3.6278377910007293;13.779226000000108;4387.858425;8147;;59.39064282932406;2040-08-15;BRSTNCNTB3C6;2025-01-02
4;4;0.0743723866843546;3804.396114;86.13366099999985;6415;0.0;17.781310541925226;11.228749419985169;-4.271861065847133;13.530701000000136;4387.858425;52038;;102.64898094261463;2050-08-15;BRSTNCNTB3D4;2025-01-02
5;5;0.07406065541310976;3716.647721;20.412316999999803;7604;0.0;20.586621033224223;12.02669905385105;-4.469900362964836;19.021128999999746;4387.858425;15458;;121.36215456748707;2055-05-17;BRSTNCNTB4Q4;2025-01-02
6;6;0.07921702144383311;4366.862522;14.888003000000026;406;0.0;1.5323252291158789;1.4135665921419187;-0.6172850973575805;9.282301000000189;4387.858425;78036;;1.6938279659447177;2026-08-17;BRSTNCNTB4U6;2025-01-02
7;7;0.08008002026226843;4229.237342;27.555750999999873;906;0.0;3.2627954709251354;2.965478499263249;-1.2541712405982253;17.610640000000785;4387.858425;88573;;6.130573356521697;2028-08-15;BRSTNCNTB4X0;2025-01-02
8;8;0.046675991072741195;4445.374473;3.7998850000003586;89;0.0;0.3531746031746032;0.3374249604452244;-0.14999803057162353;4.035041000000092;4387.858425;0;;0.2181166139573871;2025-05-15;BRSTNCNTB633;2025-01-02
9;9;0.07696200756950945;4086.588065;28.622158000000127;1908;0.0;6.3736105745960225;5.5493278681537115;-2.267781703476885;13.225036999999702;4387.858425;141404;;20.566286768065776;2032-08-16;BRSTNCNTB674;2025-01-02
